raw_symbol,instrument_id,date
ETHM3-ETHU3,13479,2023-07-08
ETHM3-ETHU3,13479,2023-07-09
ETHM3-ETHU3,13479,2023-07-10
ETHM3-ETHU3,13479,2023-07-11
ETHM3-ETHU3,13479,2023-07-12
ETHM3-ETHU3,13479,2023-07-13
ETHM3-ETHU3,13479,2023-07-14
ETHM3-ETHU3,13479,2023-07-15
ETHM3-ETHU3,13479,2023-07-16
ETHM3-ETHU3,13479,2023-07-17
ETHM3-ETHU3,13479,2023-07-18
ETHM3-ETHU3,13479,2023-07-19
ETHM3-ETHU3,13479,2023-07-20
ETHM3-ETHU3,13479,2023-07-21
ETHM3-ETHU3,13479,2023-07-22
ETHM3-ETHU3,13479,2023-07-23
ETHM3-ETHU3,13479,2023-07-24
ETHM3-ETHU3,13479,2023-07-25
ETHM3-ETHU3,13479,2023-07-26
ETHM3-ETHU3,13479,2023-07-27
ETHM3-ETHU3,13479,2023-07-28
ETHM3-ETHU3,13479,2023-07-29
ETHM3-ETHU3,13479,2023-07-30
ETHM3-ETHU3,13479,2023-07-31
ETHM3-ETHU3,13479,2023-08-01
ETHM3-ETHU3,13479,2023-08-02
ETHM3-ETHU3,13479,2023-08-03
ETHM3-ETHU3,13479,2023-08-04
ETHM3-ETHU3,13479,2023-08-05
ETHM3-ETHU3,13479,2023-08-06
ETHM3-ETHU3,13479,2023-08-07
ETHM3-ETHU3,13479,2023-08-08
ETHM3-ETHU3,13479,2023-08-09
ETHM3-ETHU3,13479,2023-08-10
ETHM3-ETHU3,13479,2023-08-11
ETHM3-ETHU3,13479,2023-08-12
ETHM3-ETHU3,13479,2023-08-13
ETHM3-ETHU3,13479,2023-08-14
ETHM3-ETHU3,13479,2023-08-15
ETHM3-ETHU3,13479,2023-08-16
ETHM3-ETHU3,13479,2023-08-17
ETHM3-ETHU3,13479,2023-08-18
ETHM3-ETHU3,13479,2023-08-19
ETHM3-ETHU3,13479,2023-08-20
ETHM3-ETHU3,13479,2023-08-21
ETHM3-ETHU3,13479,2023-08-22
ETHM3-ETHU3,13479,2023-08-23
ETHM3-ETHU3,13479,2023-08-24
ETHM3-ETHU3,13479,2023-08-25
ETHM3-ETHU3,13479,2023-08-26
ETHM3-ETHU3,13479,2023-08-27
ETHM3-ETHU3,13479,2023-08-28
ETHM3-ETHU3,13479,2023-08-29
ETHM3-ETHU3,13479,2023-08-30
